name,year,selling_price,seller_type,transmission,owner,km_driven,fuel,mileage,engine,max_power,seats
Mahindra Bolero SLX 2WD,2007,300000.0,Individual,Manual,Second Owner,100000.0,Diesel,,,,
Renault KWID RXT,2017,280000.0,Individual,Manual,First Owner,50000.0,Petrol,,,,
Maruti Alto K10 2010-2014 VXI,2011,200000.0,Individual,Manual,First Owner,40000.0,Petrol,,,,
Chevrolet Aveo U-VA 1.2 LT WO ABS Airbag,2009,110000.0,Individual,Manual,Second Owner,38500.0,Petrol,,,,
Hyundai i10 Magna,2008,140000.0,Individual,Manual,Second Owner,103921.0,Petrol,,,,
Honda City i-VTEC VX,2018,1150000.0,Dealer,Manual,First Owner,14825.0,Petrol,,,,
Honda BR-V i-DTEC VX MT,2016,910000.0,Dealer,Manual,First Owner,43377.0,Diesel,,,,
Ford Figo Diesel Titanium,2010,160000.0,Dealer,Manual,First Owner,102307.0,Diesel,,,,
Maruti Zen LX,2004,105000.0,Individual,Manual,Second Owner,79000.0,Petrol,,,,
Maruti Wagon R LXI,2004,70000.0,Individual,Manual,Fourth & Above Owner,90000.0,Petrol,,,,
Chevrolet Beat Diesel,2012,160000.0,Individual,Manual,First Owner,110000.0,Diesel,,,,
Chevrolet Sail Hatchback LT ABS,2013,225000.0,Individual,Manual,First Owner,80000.0,Diesel,,,,
Honda City 1.3 EXI,2002,145000.0,Individual,Manual,First Owner,100000.0,Petrol,,,,
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018,930000.0,Individual,Manual,First Owner,20000.0,Diesel,,,,
Hyundai Getz 1.5 CRDi GVS,2008,110000.0,Individual,Manual,Third Owner,154000.0,Diesel,,,,
Renault Lodgy Stepway 85PS RXZ 8S,2017,650000.0,Individual,Manual,First Owner,40000.0,Diesel,,,,
Maruti Swift VXI,2019,550000.0,Individual,Manual,First Owner,51000.0,Petrol,,,,
Maruti Alto LX BSIII,2008,85000.0,Individual,Manual,Second Owner,120000.0,Petrol,,,,
Toyota Etios 1.5 V,2016,509999.0,Individual,Manual,First Owner,35000.0,Petrol,,,,
Maruti Baleno Alpha 1.3,2017,650000.0,Individual,Manual,First Owner,70000.0,Diesel,,,,
Chevrolet Spark 1.0 LS,2011,140000.0,Individual,Manual,Second Owner,60000.0,Petrol,,,,
Maruti Alto LXi,2011,150000.0,Individual,Manual,First Owner,70000.0,Petrol,,,,
Datsun GO Plus A Option Petrol,2018,450000.0,Individual,Manual,Second Owner,10000.0,Petrol,,,,
Hyundai Accent CRDi,2006,170000.0,Individual,Manual,Fourth & Above Owner,245244.0,Diesel,,,,
Renault KWID 1.0 RXT Optional,2017,400000.0,Individual,Manual,First Owner,60000.0,Petrol,,,,
Tata Tiago 1.2 Revotron XE,2016,300000.0,Individual,Manual,First Owner,30000.0,Petrol,,,,
Maruti Alto 800 Base,2012,250000.0,Individual,Manual,First Owner,8000.0,Petrol,,,,
Tata Tigor 1.2 Revotron XM,2019,500000.0,Individual,Manual,First Owner,10000.0,Petrol,,,,
Hyundai Accent CRDi,2002,85000.0,Individual,Manual,Third Owner,100000.0,Diesel,,,,
Nissan Sunny Diesel XL,2012,300000.0,Individual,Manual,First Owner,110000.0,Diesel,,,,
Mahindra XUV500 AT W8 FWD,2015,740000.0,Dealer,Automatic,First Owner,45000.0,Diesel,,,,
Hyundai Santro Xing XG,2005,70000.0,Dealer,Manual,First Owner,68500.0,Petrol,,,,
Hyundai Santro Sportz AMT,2019,484999.0,Dealer,Automatic,First Owner,5007.0,Petrol,,,,
Nissan Micra Active XV S,2013,164000.0,Individual,Manual,First Owner,30000.0,Petrol,,,,
Honda City 1.5 V AT,2008,140000.0,Individual,Automatic,First Owner,70000.0,Petrol,,,,
Mercedes-Benz E-Class E250 CDI Elegance,2011,999000.0,Dealer,Automatic,First Owner,49600.0,Diesel,,,,
Maruti Alto LXI,2005,56000.0,Individual,Manual,Second Owner,23000.0,Petrol,,,,
BMW 7 Series 730Ld,2006,1050000.0,Dealer,Automatic,First Owner,30000.0,Diesel,,,,
Hyundai Verna 1.6 VTVT,2010,190000.0,Dealer,Manual,First Owner,38000.0,Petrol,,,,
Audi Q5 3.0 TDI Quattro Technology,2018,3899000.0,Dealer,Automatic,First Owner,22000.0,Diesel,,,,
Hyundai i10 Sportz 1.2,2011,235000.0,Dealer,Manual,First Owner,43100.0,Petrol,,,,
Datsun GO Plus T,2017,350000.0,Dealer,Manual,First Owner,10171.0,Petrol,,,,
Renault Duster 110PS Diesel RxL,2015,465000.0,Dealer,Manual,First Owner,41123.0,Diesel,,,,
Toyota Camry Hybrid 2.5,2017,1900000.0,Dealer,Automatic,First Owner,20118.0,Petrol,,,,
Honda City i DTec SV,2014,450000.0,Dealer,Manual,First Owner,40000.0,Diesel,,,,
Volkswagen Jetta 2.0L TDI Highline,2015,790000.0,Dealer,Manual,First Owner,52517.0,Diesel,,,,
Mahindra Marazzo M2 8Str,2019,900000.0,Individual,Manual,First Owner,20000.0,Diesel,,,,
Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,450000.0,Dealer,Manual,First Owner,99117.0,Diesel,,,,
Chevrolet Spark 1.0 LS,2009,135000.0,Individual,Manual,First Owner,90000.0,Petrol,,,,
Maruti Celerio ZXI MT BSIV,2019,425000.0,Individual,Manual,First Owner,3700.0,Petrol,,,,
Tata Indica Vista Terra 1.4 TDI,2010,100000.0,Individual,Manual,First Owner,80000.0,Diesel,,,,
Ford EcoSport 1.5 TDCi Titanium BSIV,2015,650000.0,Individual,Manual,Second Owner,100000.0,Diesel,,,,
Tata Indica Vista Aqua 1.4 TDI,2011,90000.0,Individual,Manual,First Owner,54000.0,Diesel,,,,
Hyundai EON Era Plus,2017,250000.0,Individual,Manual,First Owner,19000.0,Petrol,,,,
Maruti Swift Dzire VDI,2014,300000.0,Individual,Manual,First Owner,120000.0,Diesel,,,,
Maruti Wagon R VXI BS IV,2014,275000.0,Individual,Manual,First Owner,30000.0,Petrol,,,,
Honda BRV i-VTEC V MT,2017,600000.0,Individual,Manual,First Owner,43500.0,Petrol,,,,
Renault KWID RXT,2016,270000.0,Individual,Manual,Second Owner,60000.0,Petrol,,,,
Renault KWID RXT Optional,2016,240000.0,Individual,Manual,Second Owner,70000.0,Petrol,,,,
Renault KWID 1.0 RXT Optional,2016,350000.0,Individual,Manual,First Owner,20000.0,Petrol,,,,
Maruti Omni 5 Str STD,1998,65000.0,Dealer,Manual,Third Owner,60000.0,Petrol,,,,
Maruti Swift Dzire VDI,2015,650000.0,Individual,Manual,First Owner,58000.0,Diesel,,,,
Maruti Wagon R LX BS IV,2014,350000.0,Dealer,Manual,First Owner,40000.0,Petrol,,,,
Maruti Wagon R LXI,2005,75000.0,Individual,Manual,Second Owner,70000.0,Petrol,,,,
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),2012,440000.0,Dealer,Manual,First Owner,70000.0,Diesel,,,,
Hyundai Santro Xing GLS,2013,270000.0,Individual,Manual,First Owner,60000.0,Petrol,,,,
Toyota Innova 2.5 V Diesel 7-seater,2014,1150000.0,Dealer,Manual,First Owner,135000.0,Diesel,,,,
Maruti Omni 8 Seater BSII,2015,238000.0,Dealer,Manual,First Owner,70000.0,Petrol,,,,
Mercedes-Benz B Class B180 Sports,2013,1100000.0,Individual,Automatic,Second Owner,40000.0,Petrol,,,,
Mahindra XUV500 W10 2WD,2015,1200000.0,Dealer,Manual,Second Owner,75000.0,Diesel,,,,
Skoda Fabia 1.2L Diesel Ambiente,2010,260000.0,Individual,Manual,First Owner,150000.0,Diesel,,,,
Toyota Etios VD,2012,350000.0,Individual,Manual,Third Owner,140000.0,Diesel,,,,
Toyota Etios Liva VD,2015,480000.0,Individual,Manual,First Owner,70000.0,Diesel,,,,
Toyota Etios Liva GD,2012,345000.0,Individual,Manual,Second Owner,137250.0,Diesel,,,,
Mahindra Scorpio M2DI,2013,500000.0,Individual,Manual,Second Owner,110000.0,Diesel,,,,
Hyundai Grand i10 Asta Option,2017,595000.0,Dealer,Manual,First Owner,27000.0,Petrol,,,,
Hyundai Verna CRDi 1.6 SX Option,2019,1295000.0,Dealer,Manual,First Owner,9000.0,Diesel,,,,
Volkswagen Vento 1.5 TDI Highline BSIV,2019,1350000.0,Dealer,Manual,Test Drive Car,5400.0,Diesel,,,,
Renault KWID Climber 1.0 MT Opt BSIV,2020,541000.0,Dealer,Manual,Test Drive Car,1000.0,Petrol,,,,
Hyundai Santro Asta,2018,515000.0,Dealer,Manual,First Owner,16000.0,Petrol,,,,
Ford Figo Aspire Titanium Plus Diesel,2019,894999.0,Dealer,Manual,Test Drive Car,13000.0,Diesel,,,,
Renault Pulse RxZ Optional,2012,325000.0,Dealer,Manual,First Owner,47000.0,Diesel,,,,
Maruti Ciaz 1.4 Alpha,2018,925000.0,Individual,Manual,First Owner,22000.0,Petrol,,,,
Nissan Terrano XL P,2017,844999.0,Individual,Manual,First Owner,30000.0,Petrol,,,,
Maruti Ciaz 1.4 Alpha,2018,925000.0,Individual,Manual,First Owner,20000.0,Petrol,,,,
Tata Manza Club Class Quadrajet90 LX,2013,300000.0,Individual,Manual,First Owner,60000.0,Diesel,,,,
Toyota Camry M/t,2008,650000.0,Individual,Manual,Second Owner,75000.0,Petrol,,,,
Maruti Alto K10 LXI,2010,175000.0,Dealer,Manual,First Owner,64000.0,Petrol,,,,
Maruti SX4 S Cross DDiS 320 Delta,2015,325000.0,Individual,Manual,First Owner,80000.0,Diesel,,,,
Renault Duster 85PS Diesel RxZ,2017,600000.0,Individual,Manual,First Owner,90000.0,Diesel,,,,
Maruti Swift ZXI Plus,2018,700000.0,Individual,Manual,First Owner,30000.0,Petrol,,,,
Toyota Corolla H3,2003,95000.0,Individual,Automatic,Second Owner,120000.0,Petrol,,,,
Maruti Celerio ZXI,2019,490000.0,Dealer,Manual,First Owner,20000.0,Petrol,,,,
Tata Safari DICOR 2.2 EX 4x2,2013,380000.0,Individual,Manual,First Owner,100000.0,Diesel,,,,
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2018,550000.0,Dealer,Manual,First Owner,31000.0,Petrol,,,,
Maruti Alto 800 LXI,2013,225000.0,Dealer,Manual,First Owner,47000.0,Petrol,,,,
Tata Nexon 1.2 Revotron XM,2018,570000.0,Individual,Manual,First Owner,11200.0,Petrol,,,,
Maruti Alto 800 LXI,2018,305000.0,Dealer,Manual,First Owner,35000.0,Petrol,,,,
Maruti Wagon R Duo Lxi,2010,240000.0,Dealer,Manual,First Owner,50000.0,Lpg,,,,
Maruti Ertiga SHVS VDI,2015,700000.0,Dealer,Manual,First Owner,55000.0,Diesel,,,,
Maruti Omni E MPI STD BS IV,2018,288000.0,Dealer,Manual,First Owner,20000.0,Petrol,,,,
Mahindra Bolero B4,2017,800000.0,Dealer,Manual,First Owner,75000.0,Diesel,,,,
Maruti Celerio VXI,2017,430000.0,Dealer,Manual,First Owner,93000.0,Petrol,,,,
Chevrolet Beat Diesel LT Option,2009,195000.0,Dealer,Manual,Second Owner,57000.0,Diesel,,,,
Maruti Eeco Smiles 5 Seater AC,2014,325000.0,Dealer,Manual,First Owner,30000.0,Petrol,,,,
Renault Duster 85PS Diesel RxE,2013,450000.0,Dealer,Manual,First Owner,73000.0,Diesel,,,,
Maruti Swift Dzire VDI,2016,630000.0,Dealer,Manual,First Owner,65000.0,Diesel,,,,
Maruti Swift 1.3 VXi,2009,250000.0,Dealer,Manual,Second Owner,62000.0,Petrol,,,,
Hyundai Santro GLS I - Euro II,2007,135000.0,Dealer,Manual,First Owner,85000.0,Petrol,,,,
Chevrolet Spark 1.0 PS,2010,110000.0,Individual,Manual,First Owner,73000.0,Petrol,,,,
Maruti Swift ZDi,2012,350000.0,Dealer,Manual,First Owner,55000.0,Diesel,,,,
Maruti Omni E MPI STD BS IV,2016,240000.0,Individual,Manual,Second Owner,5800.0,Petrol,,,,
Toyota Innova 2.5 V Diesel 8-seater,2009,350000.0,Individual,Manual,First Owner,350000.0,Diesel,,,,
Maruti Swift ZXI Plus,2018,600000.0,Individual,Manual,First Owner,30000.0,Petrol,,,,
Maruti Swift Dzire VDI,2018,750000.0,Individual,Manual,First Owner,20000.0,Diesel,,,,
Hyundai EON Era Plus,2018,270000.0,Individual,Manual,First Owner,20000.0,Petrol,,,,
Maruti Alto LXi,2007,90000.0,Individual,Manual,Second Owner,100000.0,Petrol,,,,
Maruti Wagon R Stingray VXI,2013,350000.0,Individual,Manual,First Owner,65000.0,Petrol,,,,
Ford Figo Diesel Celebration Edition,2013,285000.0,Individual,Manual,Second Owner,90000.0,Diesel,,,,
Toyota Innova 2.5 E Diesel MS 7-seater,2011,665000.0,Individual,Manual,Second Owner,267000.0,Diesel,,,,
Mahindra Scorpio 2.6 CRDe,2005,175000.0,Individual,Manual,Second Owner,250000.0,Diesel,,,,
Mahindra Xylo D2,2011,350000.0,Individual,Manual,Second Owner,140000.0,Diesel,,,,
Honda City i-VTEC CVT ZX,2018,1225000.0,Dealer,Automatic,First Owner,22000.0,Petrol,,,,
Honda Jazz Select Edition Active,2010,285000.0,Dealer,Manual,Second Owner,60000.0,Petrol,,,,
Honda City i-VTEC VX,2018,1000000.0,Dealer,Manual,First Owner,28635.0,Petrol,,,,
Honda Amaze VX Diesel BSIV,2018,780000.0,Dealer,Manual,First Owner,32114.0,Diesel,,,,
Maruti Celerio VXI,2014,300000.0,Dealer,Manual,Second Owner,82000.0,Petrol,,,,
Maruti Swift VXI BSIII,2006,160000.0,Dealer,Manual,Second Owner,95149.0,Petrol,,,,
Honda Amaze VX i-VTEC,2018,625000.0,Dealer,Manual,First Owner,68458.0,Petrol,,,,
Maruti Ritz VXi,2010,265000.0,Individual,Manual,First Owner,42000.0,Petrol,,,,
Honda City i DTEC V,2014,515000.0,Individual,Manual,Second Owner,90000.0,Diesel,,,,
Hyundai i20 Active 1.4 SX,2016,650000.0,Individual,Manual,First Owner,100000.0,Diesel,,,,
Mahindra TUV 300 T8,2017,650000.0,Individual,Manual,First Owner,80000.0,Diesel,,,,
Hyundai Getz 1.3 GLS,2010,150000.0,Individual,Manual,First Owner,105546.0,Petrol,,,,
Toyota Etios Liva 1.2 V,2018,500000.0,Individual,Manual,First Owner,10000.0,Petrol,,,,
Toyota Innova 2.5 GX 7 STR BSIV,2012,1000000.0,Individual,Manual,Second Owner,80000.0,Diesel,,,,
Hyundai i20 Magna Optional 1.2,2013,340000.0,Individual,Manual,First Owner,35000.0,Petrol,,,,
Toyota Innova 2.5 G (Diesel) 8 Seater,2013,1010000.0,Individual,Manual,First Owner,120000.0,Diesel,,,,
Toyota Etios GD,2011,350000.0,Individual,Manual,Third Owner,120000.0,Diesel,,,,
Maruti Swift VDI BSIV,2016,595000.0,Individual,Manual,First Owner,70000.0,Diesel,,,,
Mahindra Scorpio VLX 2WD BSIV,2014,700000.0,Individual,Manual,Third Owner,130000.0,Diesel,,,,
Renault KWID RXL,2019,265000.0,Individual,Manual,First Owner,40000.0,Petrol,,,,
Maruti Alto K10 VXI,2015,320000.0,Individual,Manual,Second Owner,60000.0,Petrol,,,,
Honda City 1.5 S MT,2011,310000.0,Individual,Manual,First Owner,110000.0,Petrol,,,,
Honda City i DTEC VX,2014,700000.0,Individual,Manual,First Owner,130000.0,Diesel,,,,
Maruti Alto LXi BSIII,2009,130000.0,Individual,Manual,Second Owner,80000.0,Petrol,,,,
Maruti Swift Dzire VDi,2009,150000.0,Individual,Manual,Second Owner,120000.0,Diesel,,,,
Honda Amaze E i-Dtech,2015,300000.0,Individual,Manual,Second Owner,104000.0,Diesel,,,,
Maruti Swift Dzire LXi,2011,150000.0,Individual,Manual,Second Owner,100000.0,Petrol,,,,
Honda City 1.3 EXI,2003,120000.0,Individual,Manual,Second Owner,132343.0,Petrol,,,,
Hyundai Creta 1.4 CRDi S Plus,2016,950000.0,Individual,Manual,Second Owner,90000.0,Diesel,,,,
Maruti Wagon R VXI BS IV,2007,100000.0,Individual,Manual,Second Owner,60000.0,Petrol,,,,
Honda Jazz 1.5 SV i DTEC,2015,450000.0,Individual,Manual,First Owner,76000.0,Diesel,,,,
Maruti 800 EX,2004,30000.0,Individual,Manual,Third Owner,60000.0,Petrol,,,,
Mahindra Renault Logan 1.6 Petrol GLSX,2009,200000.0,Individual,Manual,Second Owner,30000.0,Petrol,,,,
Tata Indigo LS,2010,250000.0,Individual,Manual,Second Owner,96000.0,Diesel,,,,
Maruti Alto VXi,2015,280000.0,Dealer,Manual,First Owner,26134.0,Petrol,,,,
Maruti Ritz VDi,2011,260000.0,Dealer,Manual,First Owner,52895.0,Diesel,,,,
Hyundai Verna SX Diesel,2013,550000.0,Dealer,Manual,Second Owner,42324.0,Diesel,,,,
Mahindra XUV500 W10 1.99 mHawk,2016,1044999.0,Dealer,Manual,First Owner,65000.0,Diesel,,,,
Mahindra Scorpio EX,2012,550000.0,Dealer,Manual,First Owner,60236.0,Diesel,,,,
Maruti Wagon R VXI BS IV,2014,210000.0,Individual,Manual,Second Owner,70000.0,Petrol,,,,
Maruti Wagon R VXI BS IV,2014,210000.0,Individual,Manual,Third Owner,70000.0,Petrol,,,,
Mahindra Xylo E8,2009,290000.0,Individual,Manual,Second Owner,100000.0,Diesel,,,,
Fiat 500 Lounge,2008,250999.0,Individual,Manual,First Owner,110000.0,Diesel,,,,
Renault Triber RXT BSIV,2019,600000.0,Individual,Manual,First Owner,10300.0,Petrol,,,,
Fiat Grande Punto EVO 1.3 Active,2014,270000.0,Individual,Manual,Second Owner,120000.0,Diesel,,,,
Tata New Safari 4X4 EX,2012,550000.0,Individual,Manual,First Owner,142000.0,Diesel,,,,
Mahindra TUV 300 mHAWK100 T8,2017,800000.0,Individual,Manual,First Owner,25000.0,Diesel,,,,
Tata Altroz XE,2020,500000.0,Individual,Manual,First Owner,5000.0,Petrol,,,,
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2016,396000.0,Dealer,Manual,First Owner,28643.0,Petrol,,,,
Honda City i DTEC VX,2014,600000.0,Individual,Manual,First Owner,50000.0,Diesel,,,,
Maruti Wagon R ZXI 1.2,2019,575000.0,Dealer,Manual,First Owner,30000.0,Petrol,,,,
Hyundai Santro Sportz BSIV,2020,520000.0,Individual,Manual,First Owner,5000.0,Petrol,,,,
Mahindra XUV500 AT W10 FWD,2018,1400000.0,Individual,Automatic,First Owner,30000.0,Diesel,,,,
Maruti Baleno Delta Automatic,2018,600000.0,Individual,Automatic,First Owner,7600.0,Petrol,,,,
Chevrolet Beat Diesel LS,2013,195000.0,Dealer,Manual,First Owner,47253.0,Diesel,,,,
Maruti Alto K10 VXI AGS,2015,281000.0,Dealer,Automatic,Second Owner,4432.0,Petrol,,,,
Tata Indica GLS BS IV,2010,75000.0,Individual,Manual,Second Owner,110000.0,Petrol,,,,
Hyundai Grand i10 Sportz,2014,400000.0,Individual,Manual,First Owner,25000.0,Petrol,,,,
Tata Indica Vista Terra 1.4 TDI,2009,93000.0,Individual,Manual,Second Owner,70000.0,Diesel,,,,
Hyundai i20 Active S Petrol,2016,560000.0,Dealer,Manual,First Owner,68523.0,Petrol,,,,
Hyundai EON 1.0 Era Plus,2019,400000.0,Individual,Manual,First Owner,5000.0,Petrol,,,,
Tata Tigor 1.2 Revotron XT,2018,459999.0,Individual,Manual,First Owner,40000.0,Petrol,,,,
Hyundai Xcent 1.2 CRDi E,2017,450000.0,Individual,Manual,First Owner,43000.0,Diesel,,,,
Maruti Alto Green LXi (CNG),2010,88000.0,Dealer,Manual,Second Owner,80251.0,Cng,,,,
Hyundai i20 1.2 Era,2010,250000.0,Individual,Manual,Second Owner,34500.0,Petrol,,,,
Ford Ikon 1.4 ZXi,2000,22000.0,Dealer,Manual,Third Owner,42743.0,Petrol,,,,
Chevrolet Beat Diesel LS,2013,130000.0,Individual,Manual,Second Owner,93900.0,Diesel,,,,
Maruti Zen VXi - BS III,2004,79000.0,Individual,Manual,First Owner,80000.0,Petrol,,,,
Chevrolet Beat Diesel LS,2012,120000.0,Individual,Manual,First Owner,110000.0,Diesel,,,,
BMW 7 Series 730Ld,2011,1700000.0,Individual,Automatic,Second Owner,100000.0,Diesel,,,,
Chevrolet Optra Magnum 2.0 LT,2012,300000.0,Individual,Manual,First Owner,25000.0,Diesel,,,,
Maruti A-Star Lxi,2009,145000.0,Individual,Manual,First Owner,25000.0,Petrol,,,,
Ford Endeavour 3.2 Titanium AT 4X4,2019,3200000.0,Individual,Automatic,First Owner,20000.0,Diesel,,,,
Chevrolet Spark 1.0 LT,2013,240000.0,Individual,Manual,First Owner,10000.0,Petrol,,,,
Honda WR-V i-DTEC VX,2018,700000.0,Individual,Manual,First Owner,30000.0,Diesel,,,,
Hyundai Accent GLX,2010,145000.0,Individual,Manual,Second Owner,110000.0,Petrol,,,,
Maruti Ertiga VDI Limited Edition,2014,535000.0,Individual,Manual,Second Owner,80000.0,Diesel,,,,
Mahindra KUV 100 mFALCON G80 K2 Plus,2016,420000.0,Individual,Manual,First Owner,21000.0,Petrol,,,,
Maruti Alto K10 VXI,2016,350000.0,Individual,Manual,First Owner,20000.0,Petrol,,,,
Maruti Swift VDI BSIV,2015,550000.0,Individual,Manual,First Owner,32000.0,Diesel,,,,
Mitsubishi Montero 3.2 MT,2007,750000.0,Individual,Manual,First Owner,180000.0,Diesel,,,,
Tata Indica Vista Aqua 1.3 Quadrajet ABS BSIV,2012,198000.0,Individual,Manual,Second Owner,70000.0,Diesel,,,,
Hyundai i20 Magna Optional 1.4 CRDi,2013,420000.0,Individual,Manual,First Owner,50000.0,Diesel,,,,
Ford Endeavour 4x2 XLT,2004,195000.0,Individual,Manual,First Owner,120000.0,Diesel,,,,
Hyundai EON Sportz,2012,150000.0,Individual,Manual,Second Owner,55766.0,Petrol,,,,
Nissan Micra XL,2011,275000.0,Individual,Manual,Second Owner,40000.0,Petrol,,,,
Maruti 800 Std,2001,65000.0,Individual,Manual,Third Owner,60000.0,Petrol,,,,
Maruti Swift LXi BSIV,2008,200000.0,Individual,Manual,First Owner,50000.0,Petrol,,,,
Maruti Swift Dzire VDi,2010,250000.0,Individual,Manual,Second Owner,110000.0,Diesel,,,,
Tata Indigo TDI,2013,182000.0,Individual,Manual,First Owner,100000.0,Diesel,,,,
Maruti Zen VX,2001,85000.0,Individual,Manual,Second Owner,86000.0,Petrol,,,,
Maruti Swift VDI,2013,400000.0,Individual,Manual,First Owner,50000.0,Diesel,,,,
Maruti Baleno Delta 1.3,2017,650000.0,Individual,Manual,First Owner,20000.0,Diesel,,,,
Hyundai i10 Magna 1.2,2010,400000.0,Individual,Manual,First Owner,50000.0,Petrol,,,,
Tata Manza Aura (ABS) Quadrajet BS IV,2012,295000.0,Individual,Manual,Second Owner,80000.0,Diesel,,,,
Maruti Omni LPG STD BSIV,2006,60000.0,Individual,Manual,Fourth & Above Owner,135000.0,Lpg,,,,
Maruti Zen D PS,2003,110000.0,Individual,Manual,Third Owner,120000.0,Diesel,,,,
Fiat Linea 1.3 Multijet Emotion,2015,550000.0,Individual,Manual,First Owner,113600.0,Diesel,,,,
Hyundai Santro Xing GLS,2008,190000.0,Individual,Manual,Third Owner,70000.0,Petrol,,,,
Ford Aspire Titanium Plus Diesel BSIV,2018,861999.0,Dealer,Manual,First Owner,20000.0,Diesel,,,,
Ford Aspire Titanium Plus BSIV,2018,782000.0,Dealer,Manual,First Owner,14000.0,Petrol,,,,
Ford Freestyle Titanium Plus Diesel BSIV,2018,836000.0,Dealer,Manual,First Owner,26000.0,Diesel,,,,
Honda City i VTEC V,2016,696000.0,Dealer,Manual,First Owner,138925.0,Petrol,,,,
Honda Jazz 1.5 VX i DTEC,2016,596000.0,Dealer,Manual,First Owner,121764.0,Diesel,,,,
Honda Jazz 1.2 VX i VTEC,2016,612000.0,Dealer,Manual,First Owner,105429.0,Petrol,,,,
Maruti Alto 800 LXI,2015,114999.0,Individual,Manual,First Owner,35000.0,Petrol,,,,
Tata Bolt Quadrajet XE,2017,340000.0,Individual,Manual,First Owner,60000.0,Diesel,,,,
Maruti Swift ZXI Plus,2020,550000.0,Individual,Manual,First Owner,5000.0,Petrol,,,,
Chevrolet Aveo U-VA 1.2 LT,2008,114999.0,Individual,Manual,Third Owner,70000.0,Petrol,,,,
Maruti Wagon R VXI,2000,105000.0,Individual,Manual,First Owner,80000.0,Petrol,,,,
Maruti Vitara Brezza ZDi,2019,890000.0,Individual,Manual,First Owner,20000.0,Diesel,,,,
Tata Nexon 1.2 Revotron XZ Plus,2019,715000.0,Individual,Manual,First Owner,8000.0,Petrol,,,,
Hyundai i20 Asta (o),2014,525000.0,Dealer,Manual,Second Owner,54000.0,Petrol,,,,
Hyundai i20 Asta 1.2,2014,475000.0,Dealer,Manual,Second Owner,23122.0,Petrol,,,,
Chevrolet Cruze LT,2012,349000.0,Dealer,Manual,Second Owner,44500.0,Diesel,,,,
Volkswagen Polo GTI,2017,825000.0,Dealer,Automatic,First Owner,13599.0,Petrol,,,,
Mahindra Scorpio SLE BSIV,2014,550000.0,Individual,Manual,Second Owner,100000.0,Diesel,,,,
Maruti Swift 1.3 VXI ABS,2006,95000.0,Individual,Manual,Third Owner,110000.0,Petrol,,,,
Toyota Innova 2.5 G (Diesel) 7 Seater,2014,725000.0,Individual,Manual,Second Owner,90000.0,Diesel,,,,
Tata Tigor 1.2 Revotron XZ Option,2019,670000.0,Individual,Manual,First Owner,17000.0,Petrol,,,,
Maruti Alto LX,2008,65000.0,Individual,Manual,First Owner,140000.0,Petrol,,,,
Mahindra Xylo D4,2015,500000.0,Individual,Manual,Second Owner,50000.0,Diesel,,,,
Mahindra KUV 100 mFALCON G80 K8 5str,2017,600000.0,Individual,Manual,First Owner,53000.0,Petrol,,,,
Maruti Wagon R VXI Optional,2017,350000.0,Individual,Manual,Second Owner,70000.0,Petrol,,,,
Chevrolet Beat Diesel LT,2012,200000.0,Individual,Manual,Second Owner,70000.0,Diesel,,,,
Hyundai EON Sportz,2012,150000.0,Individual,Manual,First Owner,80000.0,Petrol,,,,
Maruti Zen D PS,2003,75000.0,Individual,Manual,Second Owner,110000.0,Diesel,,,,
Honda Amaze EX i-Dtech,2013,350000.0,Individual,Manual,Second Owner,90000.0,Diesel,,,,
Toyota Innova Crysta 2.4 VX MT 8S BSIV,2018,1700000.0,Individual,Manual,First Owner,15000.0,Diesel,,,,
BMW X1 sDrive20d,2011,890000.0,Individual,Automatic,Second Owner,86000.0,Diesel,,,,
Mahindra Scorpio M2DI,2014,500000.0,Individual,Manual,First Owner,120000.0,Diesel,,,,
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,600000.0,Individual,Manual,First Owner,5200.0,Petrol,,,,
Chevrolet Beat LS,2010,99000.0,Individual,Manual,Second Owner,60000.0,Petrol,,,,
Hyundai i10 Era 1.1 iTech SE,2011,235000.0,Individual,Manual,First Owner,46000.0,Petrol,,,,
Tata Indigo GLX,2006,75000.0,Individual,Manual,Second Owner,40000.0,Petrol,,,,
Honda City i DTEC VX,2014,600000.0,Individual,Manual,Second Owner,90000.0,Diesel,,,,
Hyundai Verna CRDi 1.6 SX,2019,1000000.0,Individual,Manual,Second Owner,25000.0,Diesel,,,,
Hyundai Verna 1.6 SX,2012,390000.0,Individual,Manual,First Owner,90000.0,Diesel,,,,
Volkswagen Polo 1.5 TDI Highline,2015,600000.0,Individual,Manual,First Owner,70000.0,Diesel,,,,
Hyundai i20 1.2 Spotz,2017,600000.0,Individual,Manual,Second Owner,70000.0,Petrol,,,,
Hyundai Elite i20 Magna Plus Diesel,2019,730000.0,Individual,Manual,Second Owner,35000.0,Diesel,,,,
Hyundai Grand i10 1.2 Kappa Magna AT,2017,450000.0,Individual,Automatic,First Owner,12700.0,Petrol,,,,
Maruti Ritz LDi,2011,250000.0,Individual,Manual,First Owner,80000.0,Diesel,,,,
